Sample Name,Substrate,Gas,Temperature,Type,Index,Average,Ra,RMS,Skew,Kurtosis
W6821-1C,XG,Vakuum,500,Topography,1,3.4518538191702513e-09,1.150837249550181e-09,1.535566177070152e-09,1.265926032975441,1.4476225250893675
W6821-1C,XG,Vakuum,500,Topography,2,3.5170320878864193e-09,1.1765559526464395e-09,1.5700730048081675e-09,1.3180016066275948,1.5409224619407533
W6821-1C,XG,Vakuum,500,Topography,3,3.2295011859146404e-09,8.596870847734521e-10,1.148620674480655e-09,1.6813010447616814,10.754254627524546
W6821-1C,XG,Vakuum,500,Topography,4,3.15581166783742e-09,8.767548947830147e-10,1.1724053306593363e-09,1.7385215270297651,10.84314934347492
W6822-1C,XG,Vakuum,500,Topography,1,6.606754220839668e-09,1.832996170958366e-09,2.295185209354094e-09,0.6813026411237338,0.44196369461895824
W6822-1C,XG,Vakuum,500,Topography,2,6.0885973759117535e-09,1.8308272725324616e-09,2.2922811759555853e-09,0.6705824323757553,0.4256536160943232
W6822-1C,XG,Vakuum,500,Topography,3,6.133303311273458e-09,1.6240534312059871e-09,2.0500882319500577e-09,0.7817709972311927,0.7805405695903218
W6822-1C,XG,Vakuum,500,Topography,4,6.646377012998567e-09,1.6166232870284193e-09,2.042078282659995e-09,0.7715338453992454,0.7637168273671588
W6823-1C,XG,Vakuum,500,Topography,1,1.4371239546492643e-09,4.3789974435192566e-10,5.909699808283674e-10,1.3533951777718147,2.663270567573387
W6823-1C,XG,Vakuum,500,Topography,2,1.4247111230312976e-09,4.369445930934404e-10,5.909796804221178e-10,1.37176311722802,2.758268436788808
W6823-1C,XG,Vakuum,500,Topography,3,2.492968003044555e-09,4.450866346316912e-10,6.262455112346249e-10,1.6183379863207552,3.1788551689955904
W6823-1C,XG,Vakuum,500,Topography,4,2.7184272043426896e-09,4.453701501877959e-10,6.263567392843103e-10,1.626664705182557,3.179471488924782
W6824-1C,XG,Vakuum,500,Topography,1,7.738382453723725e-09,1.5168300647509254e-09,1.9620080999101596e-09,0.5369529595745843,1.1644372218038663
W6824-1C,XG,Vakuum,500,Topography,2,7.860945468036698e-09,1.5116201386992808e-09,1.956778775606432e-09,0.5509477495383027,1.205975688234096
W6824-1C,XG,Vakuum,500,Topography,3,4.166872048279445e-09,1.0886155832055828e-09,1.3846079276923794e-09,0.4286911770305246,0.45305558989256145
W6824-1C,XG,Vakuum,500,Topography,4,3.895564126690736e-09,1.0654087084877796e-09,1.3553811425680881e-09,0.4152655901696206,0.4170516095948824
W6821-1C,XG,Vakuum,600,Topography,1,1.2118850411436307e-08,3.978885927405214e-09,5.24191074643527e-09,1.528684096632387,5.216503573041853
W6821-1C,XG,Vakuum,600,Topography,2,1.2670341805794159e-08,3.969444847682016e-09,5.150589565186191e-09,1.2040334570218665,1.8156664361393542
W6821-1C,XG,Vakuum,600,Topography,3,1.249149987180647e-08,4.138514115164624e-09,5.330756009081946e-09,1.2165881110539343,1.6669837035703399
W6821-1C,XG,Vakuum,600,Topography,4,1.2542039700703808e-08,4.154987140795802e-09,5.3576038650934176e-09,1.216707852922171,1.6837717273819521
W6822-1C,XG,Vakuum,600,Topography,1,1.1133183461914752e-08,3.973693555252105e-09,5.0058447337843645e-09,1.0115160970943295,2.220746423806096
W6822-1C,XG,Vakuum,600,Topography,2,1.1345818588344358e-08,3.974736547644491e-09,5.011640341529533e-09,1.010771782288167,2.2557847445030417
W6822-1C,XG,Vakuum,600,Topography,3,1.2402945523813284e-08,4.201794092696845e-09,5.2839333223737125e-09,0.8807089980859573,0.9291214177735392
W6822-1C,XG,Vakuum,600,Topography,4,1.2621733051118718e-08,4.209125061240942e-09,5.29374303816119e-09,0.874405178542798,0.8994923212661226
W6823-1C,XG,Vakuum,600,Topography,1,1.9171131397953486e-09,5.263821162287403e-10,7.754500083369644e-10,2.886671771627211,20.625310419375154
W6823-1C,XG,Vakuum,600,Topography,2,1.981891173608398e-09,5.323285022137105e-10,7.914266031183147e-10,3.0306958297590767,22.522569461407905
W6823-1C,XG,Vakuum,600,Topography,3,1.8266031391940504e-09,6.967994591646083e-10,1.0971443312975534e-09,3.356895491075329,19.17252415324932
W6823-1C,XG,Vakuum,600,Topography,4,1.7720945413601533e-09,6.997503853968017e-10,1.102290319636092e-09,3.3526322421198724,18.957105931834377
W6824-1C,XG,Vakuum,600,Topography,1,1.2135208663745059e-08,4.469057906867122e-09,6.819824880997956e-09,2.9238368538157404,14.249783561377548
W6824-1C,XG,Vakuum,600,Topography,2,1.5578787698124216e-08,4.476598579982061e-09,6.829809025926412e-09,2.913450474854787,14.16371039860664
W6824-1C,XG,Vakuum,600,Topography,3,1.1475341229648112e-08,4.0707697396092424e-09,6.420101434572275e-09,3.0248652360894406,14.165674328757014
W6824-1C,XG,Vakuum,600,Topography,4,1.1619143720808652e-08,4.081003674369263e-09,6.432408142350609e-09,3.016390552865566,14.086323236963189
W6821-1C,XG,Vakuum,700,Topography,1,1.1128392914962624e-08,3.241068262054824e-09,4.526060892813998e-09,1.7031981786292263,4.121433547992224
W6821-1C,XG,Vakuum,700,Topography,2,1.0247851425346049e-08,3.2627845478215173e-09,4.549523271085728e-09,1.7017077803830325,4.105050235001605
W6821-1C,XG,Vakuum,700,Topography,3,1.2378554469058885e-08,4.2175690083489325e-09,5.989610329683718e-09,2.1329235441450027,8.318291113057635
W6821-1C,XG,Vakuum,700,Topography,4,1.378878972518622e-08,4.205798412524713e-09,5.908472525152246e-09,1.8722795081963577,4.677698418872611
W6822-1C,XG,Vakuum,700,Topography,1,1.8194304607537602e-08,7.104703450940133e-09,9.081188803283183e-09,1.3769704032023717,2.479743089735165
W6822-1C,XG,Vakuum,700,Topography,2,1.951472060473151e-08,7.111193130758299e-09,9.089080385519798e-09,1.3771914990469303,2.4723032996013217
W6822-1C,XG,Vakuum,700,Topography,3,1.8884851437890112e-08,7.1142743185541465e-09,9.07458124235402e-09,1.4857661103375992,2.8574501943844046
W6822-1C,XG,Vakuum,700,Topography,4,1.7137345791903524e-08,7.126892544319771e-09,9.07156139023091e-09,1.4654958059405772,2.7340909114037073
W6823-1C,XG,Vakuum,700,Topography,1,2.1783311423415738e-09,6.052885670763637e-10,8.599538526091218e-10,1.9377862319932437,6.8542355683560245
W6823-1C,XG,Vakuum,700,Topography,2,2.013512020381567e-09,6.22248058103096e-10,8.810090683468e-10,1.9723448440110214,6.9036828966543275
W6823-1C,XG,Vakuum,700,Topography,3,1.8591251726188755e-09,5.912844958550671e-10,8.395187624001033e-10,1.995665207791403,6.334148207493556
W6823-1C,XG,Vakuum,700,Topography,4,1.7336138801915596e-09,6.064950228519505e-10,8.697120597708739e-10,2.118946886605326,6.791356885816233
W6824-1C,XG,Vakuum,700,Topography,1,1.920618300169925e-08,8.110001218008741e-09,1.0580175745712648e-08,1.4445165892537097,2.6128782296487305
W6824-1C,XG,Vakuum,700,Topography,2,1.9231270675173796e-08,8.130900364753427e-09,1.059889724874453e-08,1.4395574750201818,2.5829819147896034
W6824-1C,XG,Vakuum,700,Topography,3,2.5019191162218782e-08,6.133511259511586e-09,8.28528225583122e-09,1.6280448642149739,3.422043985528414
W6824-1C,XG,Vakuum,700,Topography,4,1.7678053890923023e-08,6.165618113946894e-09,8.32702112188714e-09,1.626110336648133,3.4019587832211498
W6821-1C,XG,Vakuum,750,Topography,1,3.4575296943634857e-08,5.332048610474294e-09,8.19772063093743e-09,1.9929778121610808,6.152779884851366
W6821-1C,XG,Vakuum,750,Topography,2,3.567068423889548e-08,5.3264206115935386e-09,8.185317651686216e-09,1.9841333500203444,6.141822270133446
