t,R1,R2
0.000162000000476837,NaN,NaN
1.6961610000059,NaN,NaN
3.36873700000346,NaN,NaN
5.05246200000495,NaN,NaN
6.73359000000358,NaN,NaN
0.000666000001132488,NaN,NaN
1.16720100000501,NaN,NaN
2.18633399999887,NaN,NaN
0.000611000001430512,NaN,NaN
1.14284200000018,NaN,NaN
2.15985500000417,NaN,NaN
3.17631899999827,NaN,NaN
4.19858600000292,NaN,NaN
0.805914999999106,NaN,NaN
660.163386999994,NaN,NaN
661.349261,NaN,NaN
662.441176999994,NaN,NaN
664.949314999998,NaN,NaN
666.083562999994,NaN,NaN
667.113036999993,NaN,NaN
0.001527000002563,2508.17918,1104.96538
2.71166200000048,2508.19717,1104.96097
5.0723900000006,2508.18356,1104.95451
7.4179980000034,2508.1744,1104.95643
12.4658599999994,2508.19999,1104.95601
14.8208310000002,2508.1889,1104.95025
17.1649919999987,2508.1896,1104.9483
19.4975839999989,2508.20996,1104.96402
21.8358180000037,2508.17894,1104.94413
24.1572120000049,2508.19696,1104.94498
26.4976660000011,2508.18536,1104.94219
28.8487160000056,2508.17678,1104.94926
31.1983650000021,2508.20593,1104.94298
33.5375960000008,2508.202,1104.93835
35.8890910000056,2508.19936,1104.92512
38.2343580000028,2508.17468,1104.92793
40.5707250000015,2508.19212,1104.92486
42.9028960000053,2508.18659,1104.91855
45.2350949999988,2508.187,1104.91439
50.2241490000039,2508.189,1104.93089
52.5705850000009,2508.18865,1104.91152
54.8919610000029,2508.20077,1104.90836
57.2294910000041,2508.18094,1104.92132
59.5598810000047,2508.20419,1104.88946
61.9066460000053,2508.20616,1104.92233
64.259439000003,2508.19303,1104.89588
66.6039560000002,2508.16923,1104.89663
72.1990390000045,2508.19575,1104.89161
74.5422540000007,2508.18563,1104.88861
0.000248000003397465,2508.1849,1104.89948
2.60860000000149,2508.18438,1104.8938
5.2161060000062,2508.18887,1104.8841
8.07184800000489,2508.19253,1104.88783
10.6690970000029,2508.17635,1104.8707
13.285150000006,2508.17843,1104.8652
15.8778640000001,2508.17457,1104.87295
18.5104570000023,2508.16845,1104.86766
21.0935980000049,2508.1834,1104.87107
26.3160910000056,2508.16536,1104.87132
28.9049920000061,2508.15987,1104.85579
31.4878489999995,2508.17381,1104.86457
34.0733159999996,2508.1601,1104.86906
36.6751550000012,2508.16696,1104.84673
39.2587230000049,2508.18679,1104.85682
41.8204290000051,2508.1547,1104.85448
44.4195989999995,2508.17893,1104.85139
47.0075530000031,2508.17755,1104.84972
49.5900659999996,2508.17406,1104.84429
52.1845400000066,2508.17507,1104.82931
54.7687120000049,2508.17333,1104.84533
57.3646410000026,2508.17854,1104.82797
59.9425430000052,2508.17263,1104.82081
62.5148560000062,2508.18286,1104.82871
65.0985170000046,2508.16756,1104.82136
67.6638060000017,2508.17788,1104.82638
70.2460410000011,2508.16386,1104.82671
72.8247480000034,2508.16713,1104.81712
75.4178190000057,2508.16605,1104.8117
78.0016140000001,2508.1629,1104.80483
80.6113000000045,2508.18278,1104.8185
83.1881990000009,2508.15141,1104.81477
85.7909640000016,2508.1735,1104.81389
88.3629870000035,2508.16104,1104.79772
90.9348049999997,2508.15925,1104.80316
93.5435879999995,2508.1809,1104.80659
96.1526950000003,2508.16366,1104.80463
98.7512160000056,2508.17685,1104.80076
101.322756000005,2508.16047,1104.7959
103.891424000002,2508.15649,1104.79228
106.472380000003,2508.15653,1104.78711
109.083903000005,2508.15856,1104.79466
111.680278000005,2508.15728,1104.80265
114.255832000002,2508.16436,1104.79233
116.838545000002,2508.17817,1104.78857
119.421463,2508.14825,1104.78854
122.014173,2508.17523,1104.80077
124.610584000006,2508.15487,1104.78692
127.205410000004,2508.14782,1104.78431
129.794418000005,2508.17647,1104.78823
132.388216000006,2508.20313,1104.80678
134.993101000004,2508.25373,1104.79377
137.559217,2508.27929,1104.82207
140.161880000003,2508.3406,1104.82305
142.729586000003,2508.38545,1104.85566
145.327708000004,2508.44241,1104.87357
147.913961000003,2508.5063,1104.88996
150.473514000006,2508.56095,1104.9066
153.063097000003,2508.71617,1104.96075
155.683313000001,2508.81903,1104.98394
158.274370000005,2508.91572,1105.03271
160.857281000003,2509.10997,1105.06448
163.472541000001,2509.32495,1105.16064
166.044370000005,2509.4924,1105.23118
168.615790000007,2509.72456,1105.29591
171.195959000006,2509.94194,1105.38036
173.752160000004,2510.44134,1105.49766
176.325907000005,2510.94218,1105.65573
178.913015000001,2511.50759,1105.86959
181.503753000006,2511.95892,1106.05374
184.096868000001,2512.47467,1106.35767
189.303522,2512.70848,1106.45279
191.882810000002,2512.9412,1106.55718
194.459287,2513.15395,1106.64943
197.038968000002,2513.38761,1106.74292
199.638894000001,2513.76693,1106.87205
202.212183000006,2514.36767,1107.02294
204.797188000001,2514.70984,1107.22814
207.391880000003,2515.0253,1107.38491
209.961694000006,2515.58415,1107.53183
212.524629000001,2516.0722,1107.73908
215.099909000002,2516.23301,1107.91521
217.658387000002,2516.61752,1108.04405
220.248025000006,2516.90148,1108.1727
222.840717,2517.8282,1108.527
228.050033,2518.3005,1108.71408
230.612459000006,2518.9961,1108.92227
233.199543000005,2519.89335,1109.22545
235.816154000007,2520.6368,1109.54807
238.388158,2521.2685,1109.85036
240.987734000005,2522.5201,1110.17178
243.591773000002,2523.73435,1110.63178
246.162210000001,2524.72984,1111.14629
248.741276000001,2525.5096,1111.48337
251.332736000001,2526.44632,1111.88965
253.916631999999,2527.02533,1112.20194
256.507125,2527.82124,1112.4864
259.112192000002,2528.41499,1112.83118
261.704635000005,2529.56674,1113.14343
264.285941,2531.12606,1113.65441
266.875658,2532.9784,1114.24298
269.459959000006,2535.25962,1115.47217
274.664005000003,2536.14235,1115.91273
277.247054000005,2536.69517,1116.29648
279.828682000004,2537.13471,1116.55163
282.406476000004,2537.68805,1116.82411
285.009848000005,2538.05015,1117.08896
287.596460000001,2538.39375,1117.29346
290.190641000003,2538.81486,1117.50226
292.799327,2539.29136,1117.74488
295.406936000004,2539.71099,1117.96961
298.018842,2540.5645,1118.20985
300.592326000005,2542.77813,1118.67497
303.189178000003,2543.70935,1119.40917
305.801292000003,2544.26184,1119.81632
308.407541000001,2545.4155,1120.19472
311.014423,2546.91904,1120.71728
313.614221000001,2547.23458,1121.2045
316.195089000002,2547.37532,1121.40057
318.750120000005,2547.56742,1121.58139
321.328294,2548.99139,1122.05567
326.560024000004,2549.73022,1122.42038
329.152640000001,2550.61141,1122.76286
331.737881999999,2551.26902,1123.17236
334.348242000006,2553.2235,1123.79968
339.582738000005,2554.18687,1124.31096
342.152743000001,2554.36331,1124.70368
344.748183000006,2554.30732,1124.87876
347.322469000004,2554.34248,1124.96438
349.897758000001,2554.81256,1125.09038
352.502826000005,2555.52583,1125.35663
355.088291000001,2555.81751,1125.61799
357.664995000005,2556.26569,1125.80689
360.234181000002,2556.50777,1126.02823
362.825206,2557.11654,1126.17252
365.396517999999,2558.40995,1126.56874
367.987211000003,2559.06784,1126.9861
370.552348999999,2560.22806,1127.32775
373.127692000002,2561.66099,1127.83339
375.693706,2562.974,1128.40973
378.297749000005,2564.12992,1128.9707
380.881963,2565.32224,1129.4717
383.455760000005,2567.83225,1130.07421
386.047489,2569.2178,1130.99331
388.622658,2570.88037,1131.54674
