t,R
0.000223999999463558,2894.40708
2.28572699999809,2893.40463
4.58133299999684,2892.40174
6.8771799999997,2891.40473
9.17244399999827,2889.62918
13.462498999998,2888.68116
15.7491609999985,2902.54652
18.0331899999976,2972.968
20.3349809999987,3077.06705
22.6141879999936,3194.25434
24.9036599999964,3313.24975
27.2078669999987,3430.2214
29.5137579999939,3540.67237
31.8311549999937,3644.66492
34.1442399999946,3740.50913
36.4214299999997,3828.95188
38.7125549999997,3911.05347
41.0193530000001,3987.72608
43.3233939999938,4058.86511
45.6234629999995,4125.21767
47.9372779999971,4187.24543
50.2261079999953,4245.024
52.5231059999987,4299.25311
54.8224429999962,4350.42087
57.1304890000001,4398.7097
59.4266140000001,4444.36693
61.7326769999936,4487.35193
64.0285959999934,4527.83648
66.3096209999993,4566.3069
68.6009739999995,4602.70226
70.8923579999954,4637.53424
73.1926089999974,4670.58317
75.4857060000002,4701.96715
77.7821429999992,4732.02815
80.0810370000005,4760.69682
82.3947039999962,4787.88801
84.681800999999,4813.84255
86.9892289999947,4838.41353
89.2826399999932,4862.01486
91.5698169999942,4884.48104
93.8773479999974,4906.0062
96.1798389999941,4926.56575
98.4950749999955,4946.14848
100.787829999998,4964.59378
103.076130999997,4982.03664
105.367631999999,4998.68158
107.651086999998,5014.83409
109.945334999993,5030.3129
112.229279999994,5045.1351
114.522247999996,5059.3764
116.806239,5072.89344
119.098875,5085.83423
121.389320999995,5098.21099
123.69507,5109.99172
125.992033999994,5121.13858
128.296529999994,5131.81488
130.591862999998,5142.03322
132.893579999998,5151.91054
135.202707999997,5161.29309
137.490663999997,5170.33423
139.785965999998,5179.09114
142.100240999997,5187.62128
144.403745999999,5195.77153
146.704581,5203.49943
149.002908999994,5210.78687
151.284726999998,5217.80272
153.590042999998,5224.56277
155.896261999995,5231.03199
158.198847999997,5237.2137
160.494662999995,5243.16377
162.801937999994,5248.91968
165.092965999998,5254.40126
167.399329999998,5259.78159
169.704162,5264.98124
171.987377999999,5270.06057
174.296256999999,5275.06834
176.606762999997,5279.78713
178.902713999994,5284.31361
181.189197999999,5288.74559
183.472924999997,5292.90173
185.769239999995,5296.89086
188.048980999999,5300.77063
190.339118999995,5304.54515
192.642677999996,5308.35536
194.949717,5312.05432
197.247563999996,5315.56862
199.540213999994,5318.80605
201.834338,5322.01087
204.134000999995,5325.2127
206.426621999994,5328.38175
208.737561999999,5331.41051
211.038818999998,5334.32469
213.326131999999,5339.8784
217.614050999999,5342.65608
219.924184999995,5345.51647
222.228118999995,5348.21923
224.520533,5350.71988
226.801805999994,5353.18629
229.104954999998,5355.67291
231.393016999997,5358.13138
233.827927999996,5360.61264
236.144864999995,5362.77273
238.438663999997,5364.95835
240.738098999999,5367.17109
243.041388999999,5369.2464
245.320469999999,5371.31711
247.594289999999,5373.44096
249.908064999998,5375.59425
252.201960999995,5377.67721
254.502248999998,5379.58641
256.785457999997,5381.44903
259.090674999997,5383.44725
261.400723999999,5385.42829
263.678981999993,5387.32767
265.990277999997,5389.27905
268.289858999997,5391.06434
270.590503999993,5392.77202
272.892489,5394.51004
275.201631999999,5396.29799
277.517111999996,5398.08115
279.812798999995,5399.71013
282.112875999995,5401.31615
284.403184999995,5402.96085
286.690120999999,5404.55611
288.998171999998,5406.06954
291.275748999998,5408.89812
295.550584999993,5410.39984
297.839654999994,5413.16844
302.121294,5414.62792
304.436140999995,5416.20749
306.743930999994,5417.7614
309.019331,5419.13357
311.315897,5420.5409
313.606774999998,5422.02453
315.900670999996,5423.4148
318.209063999996,5424.84355
320.498571999997,5426.23155
322.796603,5427.71532
325.089752999999,5429.15598
327.374484999999,5430.34027
329.677081,5431.68155
331.978204999998,5433.07375
334.272711999998,5434.47492
336.583392999999,5435.69724
338.875806999996,5436.78852
341.167882999994,5437.93806
343.471173999995,5439.14906
345.777730999999,5440.38438
348.054277999997,5441.66305
350.359651999995,5442.97587
352.671844999999,5444.20921
354.969537,5446.60038
359.269046999998,5447.79577
361.554237999998,5449.02766
363.842822999999,5450.28078
366.147790999994,5451.5098
368.427901000001,5452.66956
370.714414999999,5453.83119
373.005954999998,5454.85654
375.285046999998,5455.98805
377.581794,5457.17226
379.883644999996,5458.36536
382.188715999998,5459.59075
384.498611999996,5460.62975
386.789327999994,5461.62145
389.089127999999,5462.66917
